T5.K4.652.A98542 K6.QJT976.QT7.Q6 432.A.AKJ93.JT73 AQJ987.8532.84.K:65658888888843433232
AKT8654.6.AT3.Q5 Q32.Q9874.8.T762 9.32.QJ652.AK943 J7.AKJT5.K974.J8:55552121888832321111
J.K9832.AQJ96.A2 KQ854.Q54.K74.J8 AT7632.A7.T.K653 9.JT6.8532.QT974:33332222111121213333
T98.AT942.K87.J6 5.KJ83.QJT92.KT8 AQJ732.Q65.6.743 K64.7.A543.AQ952:A7A766667777AAAAAAAA
J5.J4.AJT7642.62 T4.AK6532.KQ9.85 Q863.Q8.8.KJT974 AK972.T97.53.AQ3:CCCCAAAACBCB88887777
T3.A962.4.A87543 QJ9876.KT54.A3.Q K542.QJ8.KJ765.9 A.73.QT982.KJT62:87877777777788887777
2..KJT8742.KT976 KQT5.AKT92.65.Q2 A863.J8654.Q.843 J974.Q73.A93.AJ5:A9A9B9BAA9A933335353
9.KT5.AT93.AQJ93 K87532.J43.KQ76. AQJ4.A86.8.87654 T6.Q972.J542.KT2:32225555444464540000
J9872.KQ2.J7.KT2 A6.J73.843.J7654 QT.95.AKQT62.A83 K543.AT864.95.Q9:33333333666633335555
A532.Q6.K64.QJ73 6.AJ7432.QT985.4 KT9.K9.A3.AKT952 QJ874.T85.J72.86:22224444878777772222
K7.AQJ842.8763.7 T652.KT753.9.K86 QJ984.96.KT.A952 A3..AQJ542.QJT43:87976676555598A8BABA
9543.7.KQJ8.QJ97 KQ72.AT943.52.32 AJ86.J82.T9.AKT8 T.KQ65.A7643.654:76764343888876763333
T9854..QT52.AT94 Q2.KQ98.AJ87.532 KJ6.J76532.4.J87 A73.AT4.K963.KQ6:AAA965657777AAAA7676
.Q763.QT42.QT932 QJ85.K.AKJ63.876 KT76.JT842.85.J4 A9432.A95.97.AK5:CCCCCCCC8787BBBB9999
AT.AJ7.AJ9532.K4 863.T9.KT84.AQT9 Q54.K6432.6.J765 KJ972.Q85.Q7.832:65667676444466666555
AJ.J64.AK987.KQ7 972.KQ9.JT2.JT52 QT6.T753.Q4.A864 K8543.A82.653.93:33336565434333334343
AK3.T6543.532.J5 6.A8.KQJT864.973 975.QJ72.A9.AQ86 QJT842.K9.7.KT42:888887875454A9A98787
K4.J754.KJ876.KQ QT952.A9.QT42.J5 8763.KQT62.A3.T9 AJ.83.95.A876432:86867676333354548888
9.AJ986.AKQT985. AKJ.K5.732.AQJ75 T742.QT7.6.T8643 Q8653.432.J4.K92:A5A5C9C922222222AAAA
JT84.83.Q42.QT82 K72.96.965.AJ764 9.AKQJ52.AKJ7.K9 AQ653.T74.T83.53:43436666222222226666
QJ973.KT8.AQ.J74 A642.AQJ75.873.9 T5.9642.K642.K53 K8.3.JT95.AQT862:A9A98888A888AAAAA9A9
872.K32.AKQ5.952 A54.A5.JT9762.JT Q96.J864.4.Q8764 KJT3.QT97.83.AK3:9999AAAA9999AAAA8787
QT953.A.AJ643.J3 76.98.975.KQ9852 J4.QJT73.KQ8.T64 AK82.K6542.T2.A7:97975454777743439999
T7.KQJ.KT865.KT6 AQ9532.A4.A.AQ95 KJ64.72.J9742.J2 8.T98653.Q3.8743:64548777A9A96666AAAA
K7643.J8.T853.95 Q92.AQ642.J7.Q83 JT5.97.AKQ96.AK4 A8.KT53.42.JT762:66664444888844448888
4.8532.KQ962.JT9 AJT986532..T4.43 7.KQJT4.A53.KQ85 KQ.A976.J87.A762:B8B8BBBB333353535444
AQ54.974.Q.AQJ95 KT972.2.JT7652.6 863.AKJT863.9.32 J.Q5.AK843.KT874:616175752121AAAA5555
J2.Q632.9842.AK4 543.KT85.KT.T832 KT.J974.AJ63.QJ9 AQ9876.A.Q75.765:77879999666655558888
KT96.QT87..98652 72.6.AKQ987.AKQ3 AJ3.A932.J532.J4 Q854.KJ54.T64.T7:77776666545599997666
QT95.97643.A3.83 J82.JT2.JT8.AKQ2 AK64.A8.K9652.65 73.KQ5.Q74.JT974:66663333444444448787
K82.A943.6.AQT83 A5.75.KQ32.J9654 QJ.KJT862.J7.K72 T97643.Q.AT9854.:7474AAAA3232BBBB4444
T64.654.98754.82 AQJ.A98.QT.AQT94 95.QJT73.A6.J765 K8732.K2.KJ32.K3:DCDCDCDC9999BABADCDC
T5.AKT62.42.9654 J987643.J85.53.2 AQ2.973.KQ86.AQT K.Q4.AJT97.KJ873:44447787444466765555
AQ2.KT742.K8.A76 J65..QJT7.KQT952 K874.9865.A9632. T93.AQJ3.54.J843:65654343222244448777
AKQ8.K75.AK.J874 54.J8632.T952.Q2 T632.AQ.874.AKT9 J97.T94.QJ63.653:00000000424233330000
JT9752.53.J6.T74 A643.T.A542.K932 Q8.J642.QT983.J8 K.AKQ987.K7.AQ65:DDDD9999DDDDAAAADDDD
AKQJ975.T2.AJ.J5 .J9865.K984.K872 862.A74.QT62.Q96 T43.KQ3.753.AT43:43434343888877779999
T974.2.T75432.J9 AJ62.AJ765.Q.T74 Q3.K983.AKJ9.A53 K85.QT4.86.KQ862:65658888AAA94343A9A9
J73.JT5.AJ4.AT85 T9842.KQ4.632.K6 .A763.Q75.J97432 AKQ65.982.KT98.Q:76769999555577773333
KQJ97.J865.QJ.Q7 T865.QT.53.AT532 32.K743.T74.J984 A4.A92.AK9862.K6:AAAA98988888AAAAA9A9
KQJT984.JT6.K.A6 752.432.AJ87.J95 .K97.QT96532.K74 A63.AQ85.4.QT832:77744444777655558888
J76.3.JT54.KT976 A95.KQJ5.AKQ32.A T8432.72.98.QJ82 KQ.AT9864.76.543:DDDD9898DDDDCCCC7777
A632.KQJ987.K.87 QJ854.A4.T54.AQ3 9.32.AQJ76.K6542 KT7.T65.9832.JT9:64646666222243434343
6.AK73.J9432.QJ6 K543.T654..A9842 AQT982.9.AKQ87.3 J7.QJ82.T65.KT75:33333131666610108787
QJT6.9863.T432.T A54.KT72.A.AK863 K9832.5.KQJ9.954 7.AQJ4.8765.QJ72:BBBB6565DCDC7676DDDD
A74.AKQ974.K763. J9.T2.Q94.AKJ965 8653.3.A5.QT8742 KQT2.J865.JT82.3:55554444535365655454
A954.65.AKQ5.963 KQ82.T.9764.QT82 6.AKQJ73.J832.A5 JT73.9842.T.KJ74:11117777111100007777
J94.KJT2.T432.92 KQT8652.93.9865. A7.86.KJ.AKQT765 3.AQ754.AQ7.J843:4444AAAA656688884344
Q5.T7432.AJ98.74 T872.KQ95.K64.83 K943.A8.T5.KJT52 AJ6.J6.Q732.AQ96:87888888778788887677
Q75.AK872.KJ.K65 T83.94.T953.AQT4 J642.Q.Q8742.972 AK9.JT653.A6.J83:88887777888877778888
A97653.K.AK7.753 KQ8.7654.QT32.84 J.QJT832.J85.AJT T42.A9.964.KQ962:85755555414154546565
QJ42.Q8.KT2.AQ54 863.KT42.A974.96 AKT95.AJ965..KJ2 7.73.QJ8653.T873:20100000111177771110
KT532.94.973.AT3 QJ976.QJ6.542.96 8.AKT8.KQJ6.K752 A4.7532.AT8.QJ84:33335555434333333333
9652.QT4.84.T875 Q8.AJ9852.Q965.Q KJT7.7.AJ72.J964 A43.K63.KT3.AK32:CCCA8787CCCCBBBABAB8
QJ9.JT53.Q862.J9 A32.AKQ87.T543.5 87.942.AK.KQ8643 KT654.6.J97.AT72:8687AAAA888899997777
KQ.AKT5.QT65.T82 A9853.J83.93.J93 7642.9.AKJ7.A764 JT.Q7642.842.KQ5:55556565656533334444
KQJ865.AK96.KT.5 A7.T75.A98764.43 432.42.QJ3.QJT92 T9.QJ83.52.AK876:65654343656588886666
654.AQT5.QT86.98 K93.942.K7532.Q2 JT87.K76.A9.KT65 AQ2.J83.J4.AJ743:66666676666677777777
KQ43.752.5.K9543 JT98.AQT96.AJ9.J 765.K4.KQ872.T76 A2.J83.T643.AQ82:88888787A9A988886666
97643.KQJ84.6.Q4 J82.765.A95.T987 .T932.Q8432.KJ63 AKQT5.A.KJT7.A52:BBBBBBBB545499A99999
52.Q872.QJT82.J8 Q9863.KT.A97.T76 AKJT7.J53.64.943 4.A964.K53.AKQ52:A9A9888899999898BBBB
752.J86.AKJ.KQ42 AQ93.K97.T2.T753 JT4.Q532.Q653.96 K86.AT4.9874.AJ8:88889899777787879898
KT9763.A92.KQ.Q4 85.KT7.A4.KJ8765 AQJ4.QJ865.83.AT 2.43.JT97652.932:42223222322299998888
962.Q53.J765.A94 AQJ53.KT97.AQT.3 KT4.862.983.KQT5 87.AJ4.K42.J8762:8888BBBBBABA99998888
QT6.94.AQJ762.63 AK93.A.9843.KJT7 J7542.T86.K.9542 8.KQJ7532.T5.AQ8:DADA7777DBDB8787BABA
Q86.9.JT8642.A53 AKT942.J87.Q.KJ2 J73.AK42.95.Q864 5.QT653.AK73.T97:87879898AAAA76767777
.K853.JT87.KJ764 Q2.Q62.K652.AQ52 KJT5.JT94.A94.T8 A987643.A7.Q3.93:87879999656576766666
K952.J865.KT8.T4 AJ4.9743.965.872 Q7.AQT2.QJ2.AJ63 T863.K.A743.KQ95:54545565333365655555
J5.KT53.KQ8.J973 A76.Q2.J9.AKQT65 QT9.A764.6542.82 K8432.J98.AT73.4:A9AABABA77778888AAAA
JT84.KJT95.7.Q53 AQ653.A73.J83.J7 K.Q64.AQ6.KT9642 972.82.KT9542.A8:96968888333399994343
AQ86.T9.Q92.J983 K2.AQ82.J754.762 974.K7543.AKT.54 JT53.J6.863.AKQT:76766666666677777777
AJ42.AJ72.AQ73.J QT763.Q93.T64.76 985.KT65.92.8532 K.84.KJ85.AKQT94:66664444333376768686
KJ7.JT7.KQ864.32 Q92.K986.J97.K95 T653.AQ43.T.Q874 A84.52.A532.AJT6:77877676767677777777
QT976.A62.732.85 AJ3.J97.AT654.AK K42.K543.KQ.Q943 85.QT8.J98.JT762:77766565777698987777
AKJ764.A3.K9.874 .J862.AJ74.AKJ63 Q52.Q95.8632.QT9 T983.KT74.QT5.52:66666565CBBB9999AAAA
QT92.J965.A9.KQ2 K753.AKQ.QJT73.J A84.742.K65.AT53 J6.T83.842.98764:44444444444476765555
AK6.K8652.T3.AT7 QJ43.Q93.95.QJ96 T95.4.QJ8742.532 872.AJT7.AK6.K84:98999898989965669798
J7653.A5.AT83.Q8 AKQ982.96.42.T42 T.KJ42.KJ97.A763 4.QT873.Q65.KJ95:44546666666633335455
AK42.64.T83.K832 95.KT9852.KQ96.5 Q83.AQJ.542.T976 JT76.73.AJ7.AQJ4:66668686989897975555
K864.3.KJ54.AQT8 Q75.A9872.Q7.J43 9.KQT5.T962.K962 AJT32.J64.A83.75:65657777666644444343
A872.J762.K.JT42 QJ.QT54.A8632.AK KT943.K98.94.Q53 65.A3.QJT75.9876:888855558888AAAA7777
732.4.T8642.AQT8 J84.AK63.Q7.J963 Q6.J52.AKJ95.754 AKT95.QT987.3.K2:A6A6AAAABABA44446666
J87.KJ63.Q85.652 KT92.A82.AT972.A A653.974.643.874 Q4.QT5.KJ.KQJT93:CBCCCBCCAAAACCCCCBCC
AKJ32.K632..KQT2 97.Q94.AJ9753.94 T6.AJ875.84.A653 Q854.T.KQT62.J87:61611111000088880000
J3.JT2.JT986.Q85 AT85.A5.KQ32.T76 K76.KQ98763.5.J4 Q942.4.A74.AK932:A7A7BBBB55559999BBBB
JT76.Q9532.94.KQ AKQ3..AQJT7532.7 4.AKJ7.86.AJ5432 9852.T864.K.T986:B2B2B9B93131BBBB4242
QJ.QJT.QJ943.A76 K654.642.KT.T542 9873.973.A762.QJ AT2.AK85.85.K983:65657777878744448888
Q86.QJ75.762.642 AJ3.T94.AK.AQJT8 K975.86.QT9854.7 T42.AK32.J3.K953:AAAA9898AAAA6666BBBB
AT53.K95.AQ3.JT7 87.AQ62.T8642.AK KQ96.87.KJ95.542 J42.JT43.7.Q9863:94544444A99965659999
J96.4.Q32.AQJT53 AK74.6.AK854.984 T2.KJT983.JT9.62 Q853.AQ752.76.K7:A7A9BBBB8787A9AA7677
JT63.7.QJT53.T42 7.AJ853.K742.AJ7 A8.QT92.A86.Q653 KQ9542.K64.9.K98:888899A9999966767887
AQ982.K.AT863.T3 J74.T842..A87542 K65.Q5.QJ975.KJ6 T3.AJ9763.K42.Q9:22224232999921218888
AJT.Q832.972.Q86 K83.A54.AQ53.543 96542.K.KJ6.AKJ9 Q7.JT976.T84.T72:44443333666566653333
KQ.KQ432.KQJT.96 AT9..987542.K742 J87652.765.6.AJ3 43.AJT98.A3.QT85:7777666666669888A999
J8.3.QT9754.J965 A97.AKQ76.K62.43 KQT32.J42.J.AK82 654.T985.A83.QT7:88886666999955554444
KQ632.JT.T84.A97 54.9654.K953.QJ5 987.KQ2.AQJ.T862 AJT.A873.762.K43:44444343666655555454
JT97.J.AQ765.765 A6.843.K82.KQ832 Q843.A9762.3.T94 K52.KQT5.JT94.AJ:BABA8686AAAA9999B7B7
AJT5.73.QT53.J52 Q982.Q42.A72.K97 76.KJT865.K6.T64 K43.A9.J984.AQ83:88878888666688888888
A32.AJ7.T92.KQ86 J98.4.Q876.AT972 Q5.86532.KJ3.J43 KT764.KQT9.A54.5:66769898555587876666
K53.QJ53.T.KQ743 A7.AT8764.5.AT52 QJ984.9.AKQJ87.J T62.K2.96432.986:74743333888843437777
KQT743.964.AJ8.3 J9.K82.T543.J952 862.QJT753.K.764 A5.A.Q9762.AKQT8:888854546464A9A9AAAA
T9652.K32.JT.964 Q.87.AK865432.A8 J84.AQJ64.Q9.KJ3 AK73.T95.7.QT752:B8B877777777BBBB9999
5.AQT9542.984.T5 QJ9876.KJ.T7.A83 T4.8763.AKJ3.J72 AK32..Q652.KQ964:BABADBDB55557777BBBB
98.Q943.KT95.964 KJT762.KJ6.Q2.T2 A54.AT752.J8.AK8 Q3.8.A7643.QJ753:75758787444477767777
A3.AQ972.932.QJ7 J85.J63.QJT854.5 KT942.T.K76.T863 Q76.K854.A.AK942:55556464757576766565
8642.A72.QJT95.2 75.QT94.86.JT963 KQT93.K53.73.AQ7 AJ.J86.AK42.K854:55654444777744448898
T87.T63.KQJ975.7 62.K972.3.J98653 AQ43.Q854.A4.AKQ KJ95.AJ.T862.T42:33335454555532328787
Q954.Q83.KJ4.T74 T7.A6.T762.AQ853 KJ632.KJ52.53.K9 A8.T974.AQ98.J62:77775454555588888888
A7543.3.J63.AJT2 QJ98.AKQ9.K7.KQ4 2.7.QT98542.9853 KT6.JT86542.A.76:BBBBA9A9BABA55556666
653.98.K864.AQ32 8.AKT753.Q2.JT98 AK9742..AT7.7654 QJT.QJ642.J953.K:77773333999944443333
T63.654.AKT6.876 KQJ84.Q7.QJ54.54 A75.K9832.93.KT9 92.AJT.872.AQJ32:AAAA99998787AAAA9999
AQ953.K8.AQ95.Q3 JT4.AJ9.JT64.AK2 8762.542.732.T96 K.QT763.K8.J8754:A9AA6666BAAA8888BABA
A32.AQJ43.J53.95 QT976.98752.A.J8 KJ8.T6.T2.AKQ432 54.K.KQ98764.T76:10104343222266661010
A982.AJ8.95.Q543 T4.K92.KQ8432.KT KJ653.Q7.J7.AJ76 Q7.T6543.AT6.982:63633333666677773232
KJ5.AT8.AKT3.AK3 Q84.Q32.QJ92.Q76 6.K65.876.JT9852 AT9732.J974.54.4:53437777555543433333
J863.AJT83.AK.T8 AT.975.Q976542.3 7.KQ.JT3.AKQJ765 KQ9542.642.8.942:30306666101065651010
K2.Q752.QJ987.T7 J9743.AT8.T63.83 Q5.J6.K542.A9652 AT86.K943.A.KQJ4:7777BBBB999955557777
KQJ984.KQ2.4.AK8 52.76.T987652.Q4 A73.JT5.AK.96532 T6.A9843.QJ3.JT7:11111111444466662222
KJ843.AK3.J95.64 .JT74.Q7.AKQT872 AT96.9652.A843.9 Q752.Q8.KT62.J53:7575333355555555AAAA
K74.AQT5.Q42.K98 T865.K3.KJT3.Q53 J93.8762.A6.AT72 AQ2.J94.9875.J64:64546656444477775444
Q953.QJ642.JT7.2 AJ.73.AQ93.98654 T.K985.K865.QJT3 K87642.AT.42.AK7:A898AAAA55558777A9A9
K4.AQ852.32.K653 AT8.K3.KJ4.AQT84 QJ9532.7.A975.72 76.JT964.QT86.J9:86866666888888888787
QJ7.T94.5.J97654 53.Q82.AQJ74.A32 AK9864.AK53.3.KQ T2.J76.KT9862.T8:75752222333388883232
AJT754.8754.7.J2 82.AK963.Q93.K94 K963.QT2.T85.A73 Q.J.AKJ642.QT865:868654549898CBCBCACA
J987.AT4.KJ4.KQ4 AKT543.76.AT63.2 Q2.K83.Q9752.J86 6.QJ952.8.AT9753:54548786989875759898
73.KQ8.Q86.Q9832 A942.J96.K754.74 QT65.A432.T9.AKJ KJ8.T75.AJ32.T65:54546666444477774444
AQ987.874.8542.T 54.T63.A6.KJ5432 K62.Q52.J973.Q98 JT3.AKJ9.KQT.A76:98987777AAAA8888CACA
9543.KT43..AQJT7 JT862.8.AQJ86.43 AK7.Q975.5.98652 Q.AJ62.KT97432.K:868675753333BBBB3232
JT7.K97.K.KQT872 A963.A6.QJ7.9653 K82.T84.A98632.4 Q54.QJ532.T54.AJ:75778777888876766565
JT.T6532.Q98.AT5 Q942.QJ94.AJ4.Q2 A85.AK8.T5.J9864 K763.7.K7632.K73:9696AAAA6666A9A96666
A865.AK83.653.J3 92.T742.QJ2.KQ54 KJT7.Q9.KT.AT862 Q43.J65.A9874.97:55552232445466662232
8.J863.KQJ86.972 AQ3.AK.A2.KJT854 K64.T9742.973.AQ JT9752.Q5.T54.63:76769999444454549898
K5.KT83.K754.K85 QT42.J52.T6.AT63 AJ73.AQ76.Q8.J92 986.94.AJ932.Q74:33334444333355554444
952.A3.AQJ42.AQJ AQJ763.842.963.7 K4.KQJ6.KT87.K93 T8.T975.5.T86542:11116565111111113333
AKQT.965.Q52.J64 8.K872.AJ43.9532 J973.AQ4.876.KT8 6542.JT3.KT9.AQ7:76766666999988889898
Q2.JT76.A93.J843 JT753.4.J8762.T5 98.AKQ52.T4.AK72 AK64.983.KQ5.Q96:55559999444499994444
A965.AK97.42.J42 3.852.AQ865.QT83 KQT87.QT3.97.A75 J42.J64.KJT3.K96:53533333333388888787
.865.AJT98765.K6 AKQT2.92.Q.AQJT3 J983.AT74.K43.52 7654.KQJ3.2.9874:8444AAAA88884444B9A9
KQT6.5.T64.QJT98 A5.KJ9632.AJ.A53 J972.A4.97532.K6 843.QT87.KQ8.742:A8A85555AAAA65656666
K32.JT7.KJ5.QT72 T87.A943.AQ64.98 Q95.KQ86.932.A64 AJ64.52.T87.KJ53:76768888767688887677
8.9864.JT97.AK92 AKJ.QT32.AK63.73 9642.AK.42.QJT64 QT753.J75.Q85.85:86868888777787873333
AT96.T2.874.9873 543.AK96.T62.KQJ KQJ8.Q84.QJ5.T42 72.J753.AK93.A65:99998888AAAAAAAA9999
8.AKJ2.T942.Q852 AJ4.754.AK87.J96 K652.QT83.J.T743 QT973.96.Q653.AK:8888A8A8656599995555
T984.AQ76.3.J872 J73.K8543.2.AK93 Q652.2.AT975.Q54 AK.JT9.KQJ864.T6:A8987666BAAA99998888
5.862.AK962.KQ86 AJ63.AKJ7.87.JT7 9874.Q5.J43.A432 KQT2.T943.QT5.95:84879898999943435354
QT82.6.QT9542.63 3.Q743.KJ83.A987 K74.K982.A6.QJT2 AJ965.AJT5.7.K54:88888888AAAA7777AAAA
9654.KJ5.A64.A43 KT.A7432.Q97.T65 82.Q86.KJT82.KQ9 AQJ73.T9.53.J872:65657676555533336666
J762.AQ2.K63.K96 AK83.96543.5.QJ3 Q95.87.Q9842.754 T4.KJT.AJT7.AT82:98987777A9AA77779899
T.A9.Q87532.QJ86 KJ96.7543.A96.93 A852.KQ86.T.A752 Q743.JT2.KJ4.KT4:75757777555544442232
Q74.T43.KQJ874.7 AT6.J962.A3.AJ94 852.K75.95.KQ853 KJ93.AQ8.T62.T62:AAAAA9A9AAAA88889999
K832.KJ7.95.9543 964.T65.AQ8642.8 QJT5.A8.J7.KQJ72 A7.Q9432.KT3.AT6:88886565999999994343
Q965.K8.JT4.T873 AK7.AJ9643.86.K4 J843.Q52.A7.J962 T2.T7.KQ9532.AQ5:BBBB8787BBBBBABA8787
QJ43.AK.A8432.T8 AKT86.J643..A432 95.87.KJT6.KQJ76 72.QT952.Q975.95:54447777A99954545454
AQ65.2.954.KJT87 KT8743.T95.T6.64 9.643.AKQJ873.Q2 J2.AKQJ87.2.A953:75758888999922224242
JT98.KQT752.Q.A5 K75.63.KJT983.T3 A.J9.A764.KQ8642 Q6432.A84.52.J97:41416666212176763232
J8542.K852.AQT.J K9.AQ9743.K96.98 AQ73.JT6.J.QT762 T6..875432.AK543:64442232666688986464
7.T642.K972.AQ53 QJ4.A75.AQ8.K964 983.K83.J6543.T7 AKT652.QJ9.T.J82:BABABBBB88886666A9A9
T53.A7.KJ7.97653 QJ2.KQT5.AT63.AJ K984.8432.95.Q82 A76.J96.Q842.KT4:BABA9999BABABBBB8888
J63.J73.T.T87654 T985.T952.A32.A9 AQ42.K8.QJ97.KQJ K7.AQ64.K8654.32:77777676999988885565
J86.AK65.KQ94.Q3 A75.QJT98.7.AK95 KQT94.7.865.T762 32.432.AJT32.J84:86875555888866668888
952.AQT872.T8.J3 KQ.943.J542.AQ74 AJT8643.KJ.A3.86 7.65.KQ976.KT952:55553131434399999999
874.53.AQJT92.53 52.K8642.K3.KQJ6 QT9.AJT.84.AT984 AKJ63.Q97.765.72:86969997999966658787
KT5.J74.J.AQJ942 Q83.T632.Q8753.T J7642.K98.A9642. A9.AQ5.KT.K87653:77775555767777776566
63.76.AK7.KQJ653 Q85.AQJ8.T52.A92 AT7.T954.J93.T84 KJ942.K32.Q864.7:95959999888888885555
85.KQ9.AK9.QJ732 T64.J5.J83.AK986 J972.A763.6542.4 AKQ3.T842.QT7.T5:77777777666666668787
T93.JT9752.75.86 Q652.84.Q64.AQ75 AJ.AK6.KJ32.KJ94 K874.Q3.AT98.T32:55547786334377766775
T9754.K.843.Q842 J6.AT5.K965.K963 AK3.86432.J72.AJ Q82.QJ97.AQT.T75:99996565989899997777
AJ6.K74.76.QT865 943.J963.954.742 K8.QT5.AKQT83.KJ QT752.A82.J2.A93:22224444333322222222
K62.JT92.9654.K6 T5.K864.T7.AJ854 A43.Q7.AQ832.Q93 QJ987.A53.KJ.T72:76768787777754549797
T6.A83.T752.T532 K.K5.AKQ9863.QJ4 A852.QT764..K986 QJ9743.J92.J4.A7:BABAA9A86666BBBB6565
AT4.K9.KT8.T8532 Q875.AJ863.Q.KJ6 K2.QT52.9754.Q74 J963.74.AJ632.A9:88889999888887876666
62.T985.A965.K82 84.J7.KQ732.QJ53 AKQT.A42.JT4.A96 J9753.KQ63.8.T74:54545454545455556565
K963.Q9842.93.72 JT42.AJT6.K872.T AQ875.K7.J5.A984 .53.AQT64.KQJ653:989655557676CBCBBBBB
Q754.KT7.K53.Q53 AKT.QJ84.T764.T6 93.A9632.J.AK984 J862.5.AQ982.J72:55557777444499994444
QT84.KJ63.2.T765 AJ.AT987.AKJ953. K9753.52.8.KQ983 62.Q4.QT764.AJ42:C9C96666CCCCCCCC6666
KJ74.KQT62.KQ.T2 53.A974.J2.AK964 AQ92.853.9854.J3 T86.J.AT763.Q875:8787656555558888AAAA
AQ.AQ82.53.Q9853 J86.J73.AJ42.AK7 973.9654.K98.J62 KT542.KT.QT76.T4:66668888545488884444
32.AQJ42.984.Q73 K85.9876.T32.J96 AJ76.5.K75.AKT52 QT94.KT3.AQJ6.84:44545565436355653333
K83.QJT5.K72.432 AT96.8642.853.T9 J7542.A.QT4.J876 Q.K973.AJ96.AKQ5:88988787A9A999998898
KQ875.A853.5.KT9 JT9.QJ76.AQ8.Q76 A3.K92.T963.8432 642.T4.KJ742.AJ5:66665454555577775555
A9865.86.T54.KQ9 7.AQT943.Q7.6542 KQ3.J752.AK62.J7 JT42.K.J983.AT83:65655454878755558888
KJ9.864.K976.J92 AT753.QT.Q.86543 62.52.JT842.AKQ7 Q84.AKJ973.A53.T:8888BABABBBB64646666
